,Street,Area,City,Price,beds,baths,Url,Rent_per_room,lat,lng,avg_per_area
125,2 Shepherds Road,Papakura,Papakura,250.0,1.0,1.0,https://www.myrent.co.nz/listings/TFYHNH,250.0,-37.0578153,174.9290989,218.66666666666666
126,420 Mangakura Road,Helensville,Helensville,900.0,4.0,3.0,https://www.myrent.co.nz/listings/Y1SLK8,225.0,-36.7116542,174.4562972,225.0
127,,StanmoreBay,Whangaparaoa,300.0,1.0,1.0,https://www.myrent.co.nz/listings/SVJNOW,300.0,-36.6258298,174.7301467,300.0
128,23 Great South Road,Takanini,Takanini,400.0,2.0,1.0,https://www.myrent.co.nz/listings/2PHEBB,200.0,-37.0398783,174.914293,200.0
129,11 Ray Small Drive,Papakura,Papakura,562.0,3.0,2.0,https://www.myrent.co.nz/listings/AAQBGW,187.33333333333331,-37.065703000000006,174.93759730000002,218.66666666666666
130,20 Hampton Downs Road,HamptonDowns,Te Kauwhata,450.0,2.0,1.0,https://www.myrent.co.nz/listings/H21UUF,225.0,-37.3554456,175.082232,225.0
131,2 Ewing Road,Tuakau,Tuakau,520.0,3.0,2.0,https://www.myrent.co.nz/listings/SUP13K,173.33333333333337,-37.262148100000005,174.9786935,173.33333333333337
132,19 Willowgrange Place,Pukekohe,Pukekohe,605.0,4.0,2.0,https://www.myrent.co.nz/listings/FRCEZQ,151.25,-37.1964302,174.9174755,166.80555555555554
133,2/14 Edison Place,StHeliers,Auckland,610.0,3.0,1.0,https://www.myrent.co.nz/listings/QRSNFH,203.33333333333331,-36.8678625,174.84412690000002,191.16666666666666
134,119 Hitchen Road,Pokeno,Pokeno,590.0,4.0,2.0,https://www.myrent.co.nz/listings/MHMMYU,147.5,-37.2488592,175.0118887,147.5
135,267 Mahurangi West Road,MahurangiWest,Warkworth,460.0,2.0,1.0,https://www.myrent.co.nz/listings/TRG2EU,230.0,-36.498649799999995,174.68242709999998,230.0
136,60A Racecourse Road,Waiuku,Waiuku,550.0,4.0,1.0,https://www.myrent.co.nz/listings/VF3ZDA,137.5,-37.241288,174.7341521,137.5
137,7 Byron Avenue,Takapuna,Auckland,595.0,1.0,1.0,https://www.myrent.co.nz/listings/ZWAWPU,595.0,-36.7905795,174.7717934,389.88095238095235
138,973 Matakana Road,Matakana,Matakana,420.0,2.0,1.0,https://www.myrent.co.nz/listings/BCNNQW,210.0,-36.3529863,174.716082,210.0
139,170 Bombay Road,Bombay,Bombay,250.0,1.0,1.0,https://www.myrent.co.nz/listings/ARYDVE,250.0,-37.188565999999994,174.99138,250.0
140,1/39 Turama Road,RoyalOak,Auckland,840.0,4.0,2.0,https://www.myrent.co.nz/listings/RYTOYK,210.0,-36.9091278,174.78054330000003,230.0
141,667 New North Road,Morningside,Auckland,1350.0,5.0,2.0,https://www.myrent.co.nz/listings/MN224J,270.0,-36.87518790000001,174.7328583,269.4444444444444
142,31 Middlefield Drive,EastTamakiHeights,Auckland,760.0,4.0,3.0,https://www.myrent.co.nz/listings/EWAPNA,190.0,-36.9461083,174.91415940000002,190.0
143,24 Lime Hill Rise,FlatBush,Auckland,530.0,2.0,1.0,https://www.myrent.co.nz/listings/YRCS6X,265.0,-36.984917200000005,174.9126477,242.61111111111111
144,102/987 Mount Eden Road,ThreeKings,Auckland,750.0,2.0,2.0,https://www.myrent.co.nz/listings/SPEQWX,375.0,-36.9037335,174.75891830000003,313.125
145,7/4 View Road,MountEden,Auckland,725.0,2.0,1.0,https://www.myrent.co.nz/listings/3YU2PB,362.5,-36.8742217,174.7612611,346.75
146,112 Williamson Avenue,GreyLynn,Auckland,395.0,1.0,1.0,https://www.myrent.co.nz/listings/NWSVGZ,395.0,-36.8632973,174.74105790000002,347.33333333333337
147,1/5 Rewa Road,ThreeKings,Auckland,1200.0,5.0,1.0,https://www.myrent.co.nz/listings/HQ3MVC,240.0,-36.8999083,174.7580456,313.125
148,74A Sunset Road,UnsworthHeights,Auckland,545.0,2.0,1.0,https://www.myrent.co.nz/listings/CDMWCA,272.5,-36.7602905,174.7230176,263.75
149,13/18 Edenvale Crescent,MountEden,Auckland,380.0,1.0,1.0,https://www.myrent.co.nz/listings/7KOFO6,380.0,-36.8710338,174.75824430000003,346.75
